text,recomen_cat,target
"Me encantaría ver algo parecido a una de mis películas favoritas, ¿puedes sugerirme algo?",similitud,6.0
¿Tienes alguna recomendación que se parezca a las películas que he estado viendo recientemente?,similitud,6.0
¿Qué películas similares a mis favoritas podrías recomendarme hoy?,similitud,6.0
"Estoy interesado/a en encontrar películas que se asemejen a mis preferidas, ¿puedes ayudarme?",similitud,6.0
"Me gustaría descubrir películas que sigan la misma línea que mis últimas elecciones, ¿tienes alguna?",similitud,6.0
¿Puedes sugerirme películas que tengan un estilo similar a lo que he estado viendo?,similitud,6.0
"Estoy buscando películas que se ajusten a mis gustos recientes, ¿alguna recomendación?",similitud,6.0
¿Qué películas podrías sugerirme basadas en mis preferencias anteriores?,similitud,6.0
"Me gustaría ver algo que tenga la misma vibra que mis últimas elecciones, ¿qué tienes para mí?",similitud,6.0
¿Podrías recomendarme películas que se relacionen con mis intereses previos?,similitud,6.0
"Estoy buscando algo que esté en línea con mis gustos cinematográficos anteriores, ¿puedes ayudarme?",similitud,6.0
¿Tienes alguna sugerencia que se ajuste a mi historial de películas?,similitud,6.0
¿Qué películas recomendarías basándote en mis preferencias pasadas?,similitud,6.0
"Estoy interesado/a en ver películas que sean similares a las que he disfrutado antes, ¿tienes alguna sugerencia?",similitud,6.0
"Me gustaría ver películas que sigan la misma línea que mis últimas elecciones, ¿puedes ayudarme?",similitud,6.0
¿Podrías recomendarme algo que esté en sintonía con mis últimas preferencias?,similitud,6.0
"Estoy buscando películas que compartan características con las que he disfrutado previamente, ¿alguna sugerencia?",similitud,6.0
¿Qué películas sugerirías que sean similares a mis favoritas?,similitud,6.0
"Me encantaría encontrar películas que se alineen con mis gustos recientes, ¿puedes ayudarme a encontrar algunas?",similitud,6.0
¿Puedes sugerirme películas que tengan un estilo similar a lo que he estado viendo?,similitud,6.0
"Estoy interesado/a en ver películas que estén en la misma línea que mis últimas elecciones, ¿tienes alguna recomendación?",similitud,6.0
¿Qué películas podrías sugerirme basadas en mis preferencias anteriores?,similitud,6.0
"Estoy buscando algo que esté en línea con mis gustos cinematográficos anteriores, ¿puedes ayudarme?",similitud,6.0
¿Tienes alguna sugerencia que se ajuste a mi historial de películas?,similitud,6.0
¿Qué películas recomendarías basándote en mis preferencias pasadas?,similitud,6.0
"Estoy interesado/a en ver películas que sean similares a las que he disfrutado antes, ¿tienes alguna sugerencia?",similitud,6.0
"Me gustaría ver películas que sigan la misma línea que mis últimas elecciones, ¿puedes ayudarme?",similitud,6.0
¿Podrías recomendarme algo que esté en sintonía con mis últimas preferencias?,similitud,6.0
"Estoy buscando películas que compartan características con las que he disfrutado previamente, ¿alguna sugerencia?",similitud,6.0
¿Qué películas sugerirías que sean similares a mis favoritas?,similitud,6.0
"Me encantaría encontrar películas que se alineen con mis gustos recientes, ¿puedes ayudarme a encontrar algunas?",similitud,6.0
¿Puedes sugerirme películas que tengan un estilo similar a lo que he estado viendo?,similitud,6.0
"Estoy interesado/a en ver películas que estén en la misma línea que mis últimas elecciones, ¿tienes alguna recomendación?",similitud,6.0
¿Qué películas podrías sugerirme basadas en mis preferencias anteriores?,similitud,6.0
"Estoy buscando algo que esté en línea con mis gustos cinematográficos anteriores, ¿puedes ayudarme?",similitud,6.0
¿Tienes alguna sugerencia que se ajuste a mi historial de películas?,similitud,6.0
¿Qué películas recomendarías basándote en mis preferencias pasadas?,similitud,6.0
"Estoy interesado/a en ver películas que sean similares a las que he disfrutado antes, ¿tienes alguna sugerencia?",similitud,6.0
"Me gustaría ver películas que sigan la misma línea que mis últimas elecciones, ¿puedes ayudarme?",similitud,6.0
¿Podrías recomendarme algo que esté en sintonía con mis últimas preferencias?,similitud,6.0
"Estoy buscando películas que compartan características con las que he disfrutado previamente, ¿alguna sugerencia?",similitud,6.0
¿Qué películas sugerirías que sean similares a mis favoritas?,similitud,6.0
"Me encantaría encontrar películas que se alineen con mis gustos recientes, ¿puedes ayudarme a encontrar algunas?",similitud,6.0
¿Puedes sugerirme películas que tengan un estilo similar a lo que he estado viendo?,similitud,6.0
"Estoy interesado/a en ver películas que estén en la misma línea que mis últimas elecciones, ¿tienes alguna recomendación?",similitud,6.0
¿Qué películas podrías sugerirme basadas en mis preferencias anteriores?,similitud,6.0
"Estoy buscando algo que esté en línea con mis gustos cinematográficos anteriores, ¿puedes ayudarme?",similitud,6.0
¿Tienes alguna sugerencia que se ajuste a mi historial de películas?,similitud,6.0
¿Qué películas recomendarías basándote en mis preferencias pasadas?,similitud,6.0
"Estoy interesado/a en ver películas que sean similares a las que he disfrutado antes, ¿tienes alguna sugerencia?",similitud,6.0
